Merians	Tips	Child_node	Event
[('M12', 'M15'), ('M12', 'M25'), ('M15', 'M25')]	Crocallis_elinguaria	Crocallis_elinguaria	fusion
[('M13', 'M21'), ('M13', 'M26'), ('M21', 'M26')]	Crocallis_elinguaria	Crocallis_elinguaria	fusion
[('M11', 'M16'), ('M11', 'M24'), ('M16', 'M24')]	Crocallis_elinguaria	Crocallis_elinguaria	fusion
M14,MZ	Danaus_plexippus_plexippus	Danaus_plexippus_plexippus	fusion
M31,MZ	Dendrolimus_kikuchii	Dendrolimus_kikuchii	fusion
M29,MZ	Ecliptopera_silaceata	Ecliptopera_silaceata	fusion
M28,M30	Ecliptopera_silaceata	Ecliptopera_silaceata	fusion
M26,M5	Emmelina_monodactyla	Emmelina_monodactyla	fusion
M25,M29	Emmelina_monodactyla	Emmelina_monodactyla	fusion
M25,M29	Erannis_defoliaria	Erannis_defoliaria	fusion
M13,M24	Erannis_defoliaria	Erannis_defoliaria	fusion
M18,MZ	Erebia_aethiops	Erebia_aethiops	fusion
M13,M6	Erebia_aethiops	Erebia_aethiops	fusion
M22,M7	Erebia_aethiops	Erebia_aethiops	fusion
M23,M9	Erebia_aethiops	Erebia_aethiops	fusion
M11,M28	Erebia_aethiops	Erebia_aethiops	fusion
M10,M24	Erebia_aethiops	Erebia_aethiops	fusion
M12,M21	Erebia_aethiops	Erebia_aethiops	fusion
M16,M25	Erebia_aethiops	Erebia_aethiops	fusion
M27,M31	Erebia_aethiops	Erebia_aethiops	fusion
M17,M20,M30	Erebia_aethiops	Erebia_aethiops	fusion
M30,M31	Eulithis_prunata	Eulithis_prunata	fusion
M1,M6	Eupithecia_centaureata	Eupithecia_centaureata	fusion
M1	Eupithecia_centaureata	Eupithecia_centaureata	fission
M6	Eupithecia_centaureata	Eupithecia_centaureata	fission
M31,MZ	Euproctis_similis	Euproctis_similis	fusion
M24,M6	Euproctis_similis	Euproctis_similis	fusion
M13,M23	Euproctis_similis	Euproctis_similis	fusion
M14,M19	Euproctis_similis	Euproctis_similis	fusion
M18,M25	Euproctis_similis	Euproctis_similis	fusion
M16,M27	Euproctis_similis	Euproctis_similis	fusion
M17,M20,M30	Euproctis_similis	Euproctis_similis	fusion
M26,M28,M29	Euproctis_similis	Euproctis_similis	fusion
[('M26', 'M28'), ('M26', 'M29'), ('M28', 'M29')]	Euproctis_similis	Euproctis_similis	fusion
M25,MZ	Fabriciana_adippe	Fabriciana_adippe	fusion
M12,M30	Fabriciana_adippe	Fabriciana_adippe	fusion
M10,M30,MZ	Furcula_furcula	Furcula_furcula	fusion
[('M10', 'M30'), ('M10', 'MZ'), ('M30', 'MZ')]	Furcula_furcula	Furcula_furcula	fusion
M13,MZ	Glaucopsyche_alexis	Glaucopsyche_alexis	fusion
M2,M29	Hedya_salicella	Hedya_salicella	fusion
M18,M26,M30	Hedya_salicella	Hedya_salicella	fusion
M1,M17,M20,MZ	Hedya_salicella	Hedya_salicella	fusion
M23,M9	Heliconius_sara	Heliconius_sara	fusion
M19,M6	Heliconius_sara	Heliconius_sara	fusion
M29,M3	Heliconius_sara	Heliconius_sara	fusion
M24,M5	Heliconius_sara	Heliconius_sara	fusion
M2,M26	Heliconius_sara	Heliconius_sara	fusion
M1,M27	Heliconius_sara	Heliconius_sara	fusion
M30,M8	Heliconius_sara	Heliconius_sara	fusion
